phoneno,age,gender,zipcode,calls,sms,mms,charges,coverage,complaint,sim,phone,prepost,churn
1290,1,Male,91125,260,28,4,700,0,4,Single Sim,Andoid,Postpaid,0
8153,1,Male,95120,110,53,27,920,0,2,Dual Sim,Andoid,Prepaid,0
5717,1,Male,94706,150,27,1,430,0,1,Single Sim,Andoid,Postpaid,0
7844,2,Male,95827,100,25,1,210,0,3,Single Sim,Andoid,Prepaid,0
2215,3,Female,94305,90,33,9,230,0,3,Single Sim,Andoid,Postpaid,0
5031,1,Male,91320,100,50,26,130,0,4,Single Sim,Andoid,Postpaid,0
1233,3,Female,90503,,27,1,1120,0,4,Single Sim,Andoid,Prepaid,0
7716,1,Male,90250,200,27,1,1380,0,2,Single Sim,Andoid,Postpaid,0
5970,1,Male,95817,40,52,28,110,0,3,Dual Sim,Andoid,Prepaid,0
1525,1,Male,92717,780,38,13,1710,0,2,Single Sim,Andoid,Postpaid,0
7542,1,Female,90095,150,58,34,420,0,4,Single Sim,Andoid,Postpaid,0
6875,2,Male,95503,790,42,17,1680,0,2,Single Sim,Andoid,Postpaid,1
6217,2,Male,91711,110,45,20,850,0,4,Dual Sim,Andoid,Postpaid,0
5167,2,Male,93111,100,52,25,440,2,3,Single Sim,Andoid,Postpaid,0
9569,2,Male,94132,180,29,3,650,3,4,Single Sim,Andoid,Prepaid,0
9753,1,Female,95818,20,53,29,240,0,4,Single Sim,Andoid,Postpaid,0
2749,1,Male,91942,10,62,37,110,0,1,Single Sim,Andoid,Postpaid,0
9676,3,Male,90401,100,51,27,380,2,2,Single Sim,Andoid,Postpaid,0
1353,2,Male,93524,70,36,12,100,1,4,Single Sim,Andoid,Prepaid,0
6422,1,Male,95133,150,24,0,1350,0,1,Single Sim,Andoid,Postpaid,0
4732,1,Male,92173,410,29,3,1480,0,3,Single Sim,Andoid,Postpaid,1
4581,2,Male,92717,150,52,26,630,0,2,Dual Sim,Andoid,Postpaid,0
1943,3,Male,91320,100,39,14,1150,0,1,Single Sim,Andoid,Postpaid,0
3476,1,Female,95616,30,48,23,450,0,1,Single Sim,Andoid,Postpaid,0
5890,3,Male,94305,190,46,21,1590,4,3,Single Sim,Andoid,Postpaid,1
3536,1,Male,91320,210,64,40,1690,2,2,Single Sim,Andoid,Postpaid,0
4204,1,Male,94043,140,55,29,1120,0,2,Single Sim,Andoid,Postpaid,0
8968,1,Male,92521,430,60,36,930,0,1,Single Sim,Andoid,Postpaid,0
1969,3,Male,90404,30,51,25,290,2,1,Single Sim,Andoid,Prepaid,0
4840,2,Male,92122,267,50,23,850,0,1,Single Sim,Andoid,Postpaid,0
2872,1,Female,93118,60,48,24,210,0,4,Single Sim,Andoid,Postpaid,0
1312,1,Male,92697,680,53,29,1440,0,2,Single Sim,Andoid,Postpaid,0
5866,1,Male,94577,100,34,10,130,1,4,Dual Sim,Andoid,Postpaid,0
3782,1,Female,93407,500,48,24,1650,0,1,Single Sim,Andoid,Prepaid,0
3887,1,Male,91345,70,55,31,90,1,4,Single Sim,Andoid,Postpaid,0
9922,1,Male,94123,0,27,3,590,1,4,Dual Sim,Andoid,Postpaid,0
8873,3,Female,92152,510,36,11,1580,0,1,Single Sim,IOS,Postpaid,1
3313,3,Female,91355,190,32,6,290,0,1,Single Sim,Andoid,Postpaid,0
4072,3,Female,94609,140,35,9,200,0,2,Single Sim,Andoid,Postpaid,0
6451,2,Male,94306,200,30,3,680,0,4,Single Sim,Andoid,Postpaid,0
6106,1,Male,95747,220,58,34,650,0,4,Single Sim,Andoid,Postpaid,0
3987,2,Male,96150,190,56,31,610,2,2,Single Sim,Andoid,Prepaid,0
3003,2,Female,95616,140,38,12,910,1,4,Single Sim,Andoid,Prepaid,0
1685,1,Male,91355,100,49,25,310,0,1,Dual Sim,Andoid,Postpaid,0
7584,2,Male,94115,10,34,10,710,0,4,Single Sim,Andoid,Prepaid,0
6095,1,Female,94110,267,40,16,730,0,4,Single Sim,Andoid,Postpaid,0
5088,1,Female,94707,310,64,39,1720,3,4,Single Sim,IOS,Postpaid,1
5191,1,Male,92131,0,51,26,200,0,2,Single Sim,Andoid,Prepaid,0
9975,1,Male,94720,20,44,18,550,0,1,Single Sim,Andoid,Prepaid,0
7022,1,Male,91604,170,46,22,690,3,2,Single Sim,Andoid,Prepaid,0
1035,1,Male,91326,740,57,33,1550,0,1,Single Sim,Andoid,Postpaid,0
1492,2,Male,90291,190,54,28,940,0,1,Single Sim,Andoid,Prepaid,0
6013,1,Female,95818,0,38,14,920,3,2,Single Sim,Andoid,Postpaid,0
8333,1,Male,95521,60,27,3,1250,0,2,Single Sim,Andoid,Prepaid,0
4304,1,Male,94305,300,39,14,740,0,3,Single Sim,Andoid,Prepaid,0
3039,3,Male,92807,30,44,20,720,0,3,Single Sim,Andoid,Postpaid,0
1168,3,Female,94707,220,56,30,610,0,1,Single Sim,Andoid,Postpaid,0
3568,1,Female,92130,30,32,6,250,0,2,Single Sim,Andoid,Prepaid,0
6350,2,Male,95051,170,45,19,830,0,2,Single Sim,Andoid,Postpaid,0
3289,1,Male,94306,250,26,2,1040,0,3,Single Sim,Andoid,Prepaid,0
8487,3,Male,95014,100,55,25,410,0,3,Single Sim,Andoid,Postpaid,0
1925,3,Male,94305,180,52,27,580,1,4,Single Sim,Andoid,Prepaid,0
1536,3,Female,94720,150,39,13,930,0,1,Single Sim,Andoid,Prepaid,0
5969,2,Male,94085,170,24,-1,390,0,2,Single Sim,Andoid,Prepaid,0
1259,1,Female,94551,750,47,23,1480,0,2,Single Sim,IOS,Postpaid,0
5640,3,Female,92677,190,47,22,530,1,4,Dual Sim,IOS,Prepaid,0
8121,1,Female,93117,170,48,24,710,2,2,Single Sim,Andoid,Prepaid,0
5594,2,Male,94720,280,47,22,920,0,1,Single Sim,Andoid,Postpaid,0
8229,3,Male,94304,210,35,10,610,0,4,Single Sim,Andoid,Postpaid,0
7663,2,Male,94122,250,46,19,380,2,3,Single Sim,Andoid,Prepaid,0
5074,1,Male,91320,170,62,37,580,0,4,Single Sim,Andoid,Postpaid,0
9841,2,Male,95616,80,26,1,800,2,1,Single Sim,Andoid,Prepaid,0
8663,3,Male,94720,180,38,8,710,0,0,Single Sim,Andoid,Postpaid,0
2238,3,Female,93407,50,43,18,890,0,3,Single Sim,Andoid,Postpaid,0
5794,3,Male,92521,180,62,38,830,0,1,Single Sim,Andoid,Postpaid,0
6510,1,Female,95831,20,57,32,280,0,3,Single Sim,Andoid,Postpaid,0
1462,2,Male,94112,170,28,3,520,0,4,Single Sim,Andoid,Prepaid,0
7139,1,Male,90089,120,51,26,700,2,1,Single Sim,Andoid,Prepaid,0
7495,3,Female,91711,140,48,22,710,0,1,Single Sim,Andoid,Prepaid,0
4377,3,Male,94005,370,41,16,750,3,1,Single Sim,Andoid,Prepaid,0
3797,3,Male,90095,790,65,39,1700,1,3,Single Sim,IOS,Postpaid,1
3900,1,Male,94025,80,41,17,780,1,4,Single Sim,Andoid,Postpaid,0
4417,2,Male,92614,100,35,11,250,0,2,Single Sim,Andoid,Prepaid,0
3359,3,Female,94025,60,38,14,600,0,2,Single Sim,Andoid,Postpaid,0
3175,2,Male,92626,270,53,29,1200,2,4,Dual Sim,IOS,Postpaid,1
3770,1,Female,92121,140,55,29,990,3,2,Single Sim,Andoid,Postpaid,0
4313,3,Female,90089,260,26,1,550,2,3,Single Sim,Andoid,Prepaid,0
3122,2,Male,94305,100,30,6,290,2,3,Single Sim,Andoid,Prepaid,0
7300,2,Male,92182,620,54,28,1700,4,2,Single Sim,Andoid,Postpaid,1
8898,1,Female,91711,220,65,40,530,0,3,Single Sim,Andoid,Prepaid,0
5747,1,Male,94583,0,47,21,1380,0,1,Single Sim,Andoid,Prepaid,0
1816,3,Male,91942,390,65,41,1340,2,3,Single Sim,Andoid,Postpaid,1
9648,3,Female,92103,70,66,40,420,2,2,Single Sim,Andoid,Prepaid,0
2145,3,Female,92697,230,26,0,990,0,4,Single Sim,Andoid,Prepaid,0
1525,1,Female,92691,50,66,41,180,0,3,Single Sim,Andoid,Prepaid,0
6065,1,Male,95747,30,35,9,240,0,4,Single Sim,Andoid,Postpaid,0
2992,1,Male,94107,140,56,30,550,1,1,Single Sim,Andoid,Postpaid,0
8486,1,Female,92407,0,51,27,580,0,1,Single Sim,Andoid,Prepaid,0
1128,3,Male,93106,120,42,16,1110,3,2,Single Sim,Andoid,Postpaid,1
5786,3,Female,90245,30,49,23,330,0,1,Single Sim,IOS,Postpaid,0
8428,2,Female,92121,180,27,1,740,2,4,Single Sim,Andoid,Postpaid,0
6143,1,Male,90840,70,45,19,380,0,2,Single Sim,Andoid,Prepaid,0
4198,3,Male,94305,60,49,23,230,1,4,Dual Sim,Andoid,Prepaid,0
3069,1,Male,94720,150,63,38,610,0,2,Single Sim,Andoid,Postpaid,0
6239,1,Male,90504,290,47,22,810,2,1,Single Sim,Andoid,Prepaid,0
5013,1,Male,94002,250,64,39,1290,0,1,Single Sim,Andoid,Postpaid,0
4874,3,Male,95039,75,43,13,330,0,1,Single Sim,Andoid,Prepaid,0
4307,1,Male,94063,220,60,36,630,0,4,Single Sim,Andoid,Postpaid,0
7524,2,Male,94923,140,40,14,700,0,4,Single Sim,Andoid,Postpaid,0
5854,1,Female,95023,20,29,3,450,2,4,Single Sim,Andoid,Postpaid,0
7107,3,Male,90095,50,41,16,650,0,3,Single Sim,Andoid,Postpaid,0
2350,1,Female,95616,220,30,5,740,0,4,Dual Sim,Andoid,Prepaid,0
5264,3,Male,94706,180,49,24,500,0,4,Dual Sim,Andoid,Prepaid,0
7395,3,Male,90058,50,30,5,220,2,4,Single Sim,Andoid,Postpaid,0
3742,3,Male,92126,100,29,2,300,0,4,Single Sim,Andoid,Prepaid,0
9726,1,Male,91125,100,50,26,210,0,4,Single Sim,Andoid,Postpaid,0
3540,1,Male,94577,390,39,14,1550,0,2,Single Sim,Andoid,Postpaid,0
4112,3,Male,92121,210,33,8,640,2,4,Single Sim,Andoid,Postpaid,0
4659,3,Female,94118,260,57,31,650,0,4,Single Sim,Andoid,Prepaid,0
1378,3,Male,91711,70,34,9,710,0,4,Single Sim,Andoid,Postpaid,0
8707,2,Male,90029,50,61,36,400,0,3,Dual Sim,Andoid,Postpaid,0
9353,3,Male,92806,50,44,19,690,0,3,Single Sim,Andoid,Postpaid,0
8799,2,Male,94305,233,40,13,690,0,3,Single Sim,Andoid,Prepaid,0
7893,2,Male,94806,60,51,25,450,2,3,Single Sim,Andoid,Postpaid,0
5687,2,Female,92110,70,37,12,620,0,3,Single Sim,Andoid,Prepaid,0
4867,3,Male,94306,430,44,19,1720,4,2,Dual Sim,IOS,Postpaid,1
7389,2,Female,92121,100,42,15,240,0,0,Single Sim,Andoid,Postpaid,0
4343,1,Male,92373,490,51,25,800,0,1,Single Sim,Andoid,Prepaid,0
7914,2,Male,90089,67,43,16,80,1,3,Single Sim,Andoid,Postpaid,0
7488,1,Female,94542,80,30,5,380,2,4,Single Sim,Andoid,Postpaid,0
4325,3,Male,90095,260,45,19,930,0,4,Single Sim,Andoid,Prepaid,0
3231,1,Male,94536,200,35,9,550,0,1,Single Sim,Andoid,Postpaid,0
5349,3,Female,94304,170,60,34,640,0,2,Single Sim,Andoid,Prepaid,0
2645,1,Male,90623,0,34,9,1220,0,1,Single Sim,Andoid,Postpaid,0
1081,3,Male,93720,140,55,25,700,0,3,Single Sim,Andoid,Postpaid,0
4636,1,Male,92069,320,43,19,810,0,2,Single Sim,Andoid,Prepaid,0
1946,3,Male,90057,550,41,15,1590,0,1,Single Sim,IOS,Postpaid,1
4725,1,Male,92843,130,34,9,700,0,4,Dual Sim,Andoid,Prepaid,0
5042,1,Male,92120,690,65,39,1500,2,2,Single Sim,Andoid,Prepaid,0
1015,1,Male,94550,750,45,21,1520,0,2,Single Sim,Andoid,Postpaid,0
4153,1,Male,95605,300,49,25,1950,7,4,Single Sim,Andoid,Prepaid,1
2257,1,Male,90740,10,48,23,220,0,1,Single Sim,Andoid,Prepaid,0
8850,1,Male,91207,130,60,35,220,2,1,Single Sim,Andoid,Postpaid,0
5649,1,Female,92373,80,55,29,790,0,3,Single Sim,Andoid,Postpaid,0
5319,3,Male,90401,140,42,18,330,0,1,Single Sim,Andoid,Postpaid,0
2593,1,Female,94720,433,32,8,1280,0,2,Single Sim,IOS,Postpaid,0
7627,1,Male,95929,380,62,38,910,0,1,Dual Sim,Andoid,Postpaid,0
3603,1,Female,90277,90,57,32,390,0,4,Single Sim,Andoid,Postpaid,0
8289,1,Male,94550,730,52,26,1210,2,1,Single Sim,Andoid,Postpaid,0
8503,3,Male,91741,67,36,6,210,0,1,Dual Sim,Andoid,Postpaid,0
1152,1,Female,93720,230,34,9,410,0,3,Single Sim,Andoid,Prepaid,0
5912,3,Male,93437,70,63,37,450,0,2,Single Sim,Andoid,Postpaid,0
7709,3,Male,90630,30,24,-2,510,0,3,Single Sim,Andoid,Postpaid,0
2225,2,Male,95054,160,57,31,1650,0,1,Single Sim,Andoid,Postpaid,1
5694,2,Male,91335,420,40,16,1190,0,2,Single Sim,Andoid,Postpaid,1
9732,3,Male,95670,180,27,2,1100,2,4,Single Sim,Andoid,Postpaid,0
8991,2,Female,90034,70,65,39,200,0,3,Single Sim,Andoid,Prepaid,0
1746,2,Male,90266,80,60,34,640,3,1,Single Sim,Andoid,Prepaid,0
4514,2,Male,92717,440,44,20,1010,1,3,Single Sim,Andoid,Prepaid,1
9975,1,Male,92007,390,63,39,1010,0,1,Dual Sim,IOS,Postpaid,1
7415,1,Male,90034,440,59,34,990,0,1,Single Sim,Andoid,Prepaid,1
2409,1,Male,90089,610,56,30,1580,0,4,Single Sim,Andoid,Prepaid,1
9487,2,Female,95039,190,54,28,890,0,1,Single Sim,Andoid,Postpaid,0
5369,3,Female,95616,130,52,27,800,0,1,Single Sim,IOS,Postpaid,0
8408,1,Male,91330,200,58,32,1140,5,2,Single Sim,Andoid,Postpaid,0
